date,comment,rating-button-up,article_num,url
2022-10-28,Im curious to see how the BBC will handle not being able to rewrite history to include diversity in this series.,947,3,https://www.dailymail.co.uk/news/article-11367397/How-SAS-forged-public-schools-prisons-BBC-blockbuster-reveal-origins.html#comments
2022-10-29,Democrats dont care about hurricane victims.,1668,0,https://www.dailymail.co.uk/news/article-11369651/Angry-liberals-vow-cancel-singer-Luke-Bryan-brings-Gov-DeSantis-concert.html#comments
