date,comment,rating-button-up,article_num,url
2022-10-01,"Meghan Markle's primary goals in life are money, fame and fortune and it doesn't matter who she has to step over to achieve her goals...",18591,137,https://www.dailymail.co.uk/news/article-11270853/Mystery-Meghan-Markles-bloodsoaked-earrings-Saudi-prince-unravelled-new-book.html#comments
2022-10-02,"Now, remove their TITLES.",10815,255,https://www.dailymail.co.uk/news/article-11273037/RICHARD-KAY-picture-tells-Harry-Meghan-theres-no-way-back.html#comments
